Game,#,Key in…,Effect…,Code Source,Original Order
Asteroids,2,053-15F-E66,Start with 5 lives,Official Code - GBCD3.txt,1184
Asteroids,3,093-15F-E66,Start with 9 lives,Official Code - GBCD3.txt,1185
Asteroids,4,003-83F-3BE,Infinite lives,Official Code - GBCD3.txt,1186
Asteroids,5,01C-B4D-F76 + 003-9CF-3BE,Asteroids go thru you unless you move from the middle,Official Code - GBCD3.txt,1187
Asteroids,6,00A-7ED-3BA,No extra asteroids as you go up levels,Official Code - GBCD3.txt,1188
Atomic Punk ,,Game A,,Official Code - GBCD0.txt,46
Atomic Punk ,1,C9C-87C-E69,Infinite time,Official Code - GBCD0.txt,47
Atomic Punk ,2,21E-D4D-C41 + 09E-38D-E66,"Buy items under ""?"" icons",Official Code - GBCD0.txt,48
Atomic Punk ,3,FF8-E3F-7FB,Start with 255 gold coins,Official Code - GBCD0.txt,49
Atomic Punk ,4,198-E8F-E6A,"Start with 6,500 gold coins",Official Code - GBCD0.txt,50
Atomic Punk ,,Game B,,Official Code - GBCD0.txt,51
Atomic Punk ,5,010-85B-E62,Start with 2 lives,Official Code - GBCD0.txt,52
Atomic Punk ,6,050-85B-E62,Start with 6 lives,Official Code - GBCD0.txt,53
Atomic Punk ,7,0A0-85B-E62,Start with 11 lives,Official Code - GBCD0.txt,54
Atomic Punk ,8,140-85B-E62,Start with 21 lives,Official Code - GBCD0.txt,55
Atomic Punk ,9,280-85B-E62,Start with 41 lives,Official Code - GBCD0.txt,56
Atomic Punk ,10,A71-7CB-19E,Infinite lives,Official Code - GBCD0.txt,57
Atomic Punk ,11,C93-389-E69,Infinite time,Official Code - GBCD0.txt,58
Attack of the Killer Tomatoes ,1,A79-44C-19E,Infinite lives,Official Code - GBCD0.txt,59
Attack of the Killer Tomatoes ,2,015-F2F-E66,Start with 1 life,Official Code - GBCD0.txt,60
Attack of the Killer Tomatoes ,3,055-F2F-E66,Start with 5 lives,Official Code - GBCD0.txt,61
Attack of the Killer Tomatoes ,4,095-F2F-E66,Start with 9 lives,Official Code - GBCD0.txt,62
Attack of the Killer Tomatoes ,5,A7A-DBF-3BE,Infinite hit points,Official Code - GBCD0.txt,63
Attack of the Killer Tomatoes ,6,017-20B-E66,Start with 1 hit point,Official Code - GBCD0.txt,64
Attack of the Killer Tomatoes ,7,057-20B-E66,Start with 5 hit points,Official Code - GBCD0.txt,65
Attack of the Killer Tomatoes ,8,097-20B-E66,Start with 9 hit points,Official Code - GBCD0.txt,66
Attack of the Killer Tomatoes ,9,004-B0F-3BE,Infinite time,Official Code - GBCD0.txt,67
Attack of the Killer Tomatoes ,10,A71-FDE-19E,Infinite swords on pick-up,Official Code - GBCD0.txt,68
Avenging Spirit,1,FA5-AFC-4C1 + FAE-C2D-4C1,Infinite energy except if weapon is used against you,Official Code - GBCD3.txt,1189
Avenging Spirit,1,FA5-FAC-4C1 + FAE-C2D-4C1,Infinite energy except if weapon is used against you,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1359
Avenging Spirit,2,FAE-B5D-4C1,Infinite energy except against spikes,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1360
Avenging Spirit,3,053-2BC-B3A,Start with 1/4 energy,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1361
Avenging Spirit,4,0A3-2BC-B3A,Start with 1/2 energy,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1362
Avenging Spirit,5,0F3-2BC-B3A,Start with 3/4 energy,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1363
Avenging Spirit,,*Ignore counter,,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1364
Avenging Spirit,6,029-B9C-E6E,*Start on level 2,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1365
Avenging Spirit,7,049-B9C-E6E,*Start on level 4,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1366
Avenging Spirit,8,069-B9C-E6E,*Start on level 6,"Official Code - GBCD4.txt (VOL. 1, NO. 4) PLUS BONUS TITLES",1367
Balloon Kid ,1,00E-17D-E6E + A7A-7CF-19E,Infinite lives,Official Code - GBCD0.txt,69
Balloon Kid ,2,013-86F-F7A,Start with 2 lives,Official Code - GBCD0.txt,70
Balloon Kid ,3,01F-41F-B3A + 00F-5BF-B3A,Balloons worth 2 after 1st pick-up,Official Code - GBCD0.txt,71
Balloon Kid ,4,013-C49-E6A,Start on Stage 2,Official Code - GBCD0.txt,72
Balloon Kid ,5,033-C49-E6A,Start on Stage 4,Official Code - GBCD0.txt,73
Balloon Kid ,6,053-C49-E6A,Start on Stage 6,Official Code - GBCD0.txt,74
Balloon Kid ,7,073-C49-E6A,Start on Stage 8,Official Code - GBCD0.txt,75
Barbie Game Girl ,1,027-7AD-F7E,Start with 2 hit points,Official Code - GBCD1.txt,819
Barbie Game Girl ,2,047-7AD-F7E,Start with 4 hit points,Official Code - GBCD1.txt,820
Barbie Game Girl ,3,087-7AD-F7E,Start with 8 hit points,Official Code - GBCD1.txt,821
Barbie Game Girl ,4,FAA-A5C-4C1,Infinite hit points,Official Code - GBCD1.txt,822
Barbie Game Girl ,5,017-ADD-E66,1 continue,Official Code - GBCD1.txt,823
Barbie Game Girl ,6,047-ADD-E66,4 continues,Official Code - GBCD1.txt,824
Barbie Game Girl ,7,087-ADD-E66,8 continues,Official Code - GBCD1.txt,825
Barbie Game Girl ,8,FAB-959-4C1,Infinite continues,Official Code - GBCD1.txt,826
Bart Simpson's Escape From Camp Deadly ,1,014-B7F-E62,Start with 2 lives,Official Code - GBCD0.txt,76
Bart Simpson's Escape From Camp Deadly ,2,054-B7F-E62,Start with 6 lives,Official Code - GBCD0.txt,77
Bart Simpson's Escape From Camp Deadly ,3,094-B7F-E62,Start with 10 lives,Official Code - GBCD0.txt,78
Bart Simpson's Escape From Camp Deadly ,4,00D-DCD-E6E,Infinite lives,Official Code - GBCD0.txt,79
Bart Simpson's Escape From Camp Deadly ,5,007-F9F-19E,No loss of chocolate candy,Official Code - GBCD0.txt,80
Bart Simpson's Escape From Camp Deadly ,6,054-BCF-E62,Start first life with 5 chocolate candies,Official Code - GBCD0.txt,81
Bart Simpson's Escape From Camp Deadly ,7,094-BCF-E62,Start first life with 9 chocolate candies,Official Code - GBCD0.txt,82
Bart Simpson's Escape From Camp Deadly ,8,054-DFF-E6E,Start new lives with 5 chocolate candies,Official Code - GBCD0.txt,83
Bart Simpson's Escape From Camp Deadly ,9,094-DFF-E6E,Start new lives with 9 chocolate candies,Official Code - GBCD0.txt,84
Bart Simpson's Escape From Camp Deadly ,10,18E-18D-6EA,Infinite boomerangs--counter will be wrong,Official Code - GBCD0.txt,85
Baseball ,1,00D-34B-3BA,Infinite strikes,Official Code - GBCD0.txt,86
Baseball ,2,01D-37B-E66,1 strike and you're out (not including fouls),Official Code - GBCD0.txt,87
Baseball ,3,06D-37B-E66,6 strike and you're out,Official Code - GBCD0.txt,88
Baseball ,4,09D-37B-E66,9 strike and you're out,Official Code - GBCD0.txt,89
Baseball ,5,00D-A7B-3BA,Strikeouts don't count,Official Code - GBCD0.txt,90
Baseball ,6,000-7CF-3BA,"No scoring (can be switched off so your scores can be counted, but not your opponent's)",Official Code - GBCD0.txt,91
Bases Loaded,1,00C-63B-19A,No walks,Official Code - GBCD11.txt,1941
Bases Loaded,2,00C-66B-F7A,1 ball and you walk,Official Code - GBCD11.txt,1942
Bases Loaded,3,02C-66B-F7A,2 balls and you walk,Official Code - GBCD11.txt,1943
Bases Loaded,4,03C-66B-F7A,3 balls and you walk,Official Code - GBCD11.txt,1944
Bases Loaded,5,04C-66B-F7A,5 balls and you walk,Official Code - GBCD11.txt,1945
Bases Loaded,6,00C-77B-19A,Outs aren't counted (baserunners will still be taken out),Official Code - GBCD11.txt,1946
Bases Loaded,7,003-8F8-E66,Number of outs to retire the side varies,Official Code - GBCD11.txt,1947
Bases Loaded,8,00C-43B-3BA,Strikes aren't counted,Official Code - GBCD11.txt,1948
Bases Loaded,9,01C-46B-E66,1 strike and you're out,Official Code - GBCD11.txt,1949
Bases Loaded,10,02C-46B-E66,2 strikes and you're out,Official Code - GBCD11.txt,1950
Bases Loaded,11,05C-46B-E66,5 strikes and you're out,Official Code - GBCD11.txt,1951
Bases Loaded,12,008-1FF-E6E + 008-11F-E6E,No scoring--switch off to score,Official Code - GBCD11.txt,1952
Batman,1,005-EFD-3B7,Infinite energy,Official Code - GBCD14.txt,2258
Batman,2,014-8ED-F76,Start with very little energy,Official Code - GBCD14.txt,2259
Batman,3,044-8ED-F76,Start with about half energy,Official Code - GBCD14.txt,2260
Batman,4,0E4-8ED-F76,Start with about 2x energy,Official Code - GBCD14.txt,2261
Batman,5,09A-70B-F7E,Each batarang pick-up is worth 9,Official Code - GBCD14.txt,2262
Batman,6,00B-A3D-3BE,Infinite batarangs,Official Code - GBCD14.txt,2263
Batman,7,215-92D-D5D,Almost invincible╤Switch off if you get stuck,Official Code - GBCD14.txt,2264
Batman,8,004-96D-5D4 + FA4-9AD-4C1,Start with 7 batarangs,Official Code - GBCD14.txt,2265
Batman,9,006-16E-3B7,Most enemies don't die,Official Code - GBCD14.txt,2266
Batman,10,0AF-CDB-E62,Most enemies are harder to kill,Official Code - GBCD14.txt,2267
Batman,11,AF6-15E-A2C,Most enemies die with one hit,Official Code - GBCD14.txt,2268
Batman Return of the Joker ,1,062-01F-C42,Start with max of 3 hit points,Official Code - GBCD1.txt,827
Batman Return of the Joker ,2,102-01F-C42,Start with max of 8 hit points,Official Code - GBCD1.txt,828
Batman Return of the Joker ,3,022-07F-F7E,1 continue,Official Code - GBCD1.txt,829
Batman Return of the Joker ,4,0A2-07F-F7E,9 continues,Official Code - GBCD1.txt,830
Batman Return of the Joker ,5,00A-B5D-F75,Infinite continues,Official Code - GBCD1.txt,831
Batman Return of the Joker ,6,05D-A0B-C42,5 Batarangs (tm) on pick-up,Official Code - GBCD1.txt,832
Batman Return of the Joker ,7,14D-A0B-C42,20 Batarangs on pick-up,Official Code - GBCD1.txt,833
Batman Return of the Joker ,8,28D-A0B-C42,40 Batarangs on pick-up,Official Code - GBCD1.txt,834
Batman Return of the Joker ,9,009-96E-19E,Infinite batarangs on pick-up,Official Code - GBCD1.txt,835
Battle Bull ,1,005-38E-C49,Infinite lives,Official Code - GBCD0.txt,92
Battle Bull ,2,AF5-6AF-802 + C96-68A-F72,Infinite gold--switch off between levels,Official Code - GBCD0.txt,93
Battle Unit Zeoth ,1,3E6-3AF-2A9 + 3EF-B2E-2A9,Infinite energy,Official Code - GBCD0.txt,94
Battle Unit Zeoth ,2,3E1-F4E-2AA + 021-F5E-F76,Collect 1 power-up to get more power,Official Code - GBCD0.txt,95
Battle Unit Zeoth ,3,012-CCD-F7E,Finish game at end of level 1,Official Code - GBCD0.txt,96
Battletoads ,1,007-ED8-E66,Start with 1 life,Official Code - GBCD1.txt,836
Battletoads ,2,057-ED8-E66,Start with 6 lives,Official Code - GBCD1.txt,837
Battletoads ,3,097-ED8-E66,Start with 10 lives,Official Code - GBCD1.txt,838
Battletoads ,4,007-C2E-3BE,Infinite continues,Official Code - GBCD1.txt,839
Battletoads ,5,017-F28-E66,1 continue,Official Code - GBCD1.txt,840
Battletoads ,6,057-F28-E66,5 continues,Official Code - GBCD1.txt,841
Battletoads ,7,0A7-F28-E66,10 continues,Official Code - GBCD1.txt,842
Battletoads ,8,FAC-CAF-4C1 + 007-B0E-F71,Infinite lives and energy,Official Code - GBCD1.txt,843
Battletoads ,9,063-26F-D5A,Start 1st life with 1/2 energy,Official Code - GBCD1.txt,844
Battletoads ,10,06E-388-D5A,Start with only 1/2 energy--after 1st life,Official Code - GBCD1.txt,845
Battletoads ,11,0E3-26F-D5A,Start 1st life with 2 extra hit points,Official Code - GBCD1.txt,846
Battletoads ,12,0EE-388-D5A,Start with 2 extra hit points--after 1st life,Official Code - GBCD1.txt,847
Battletoads ,13,FAD-918-4C1,Keep axe after dying,Official Code - GBCD1.txt,848
Battletoads ,14,005-42E-E6E,Big arms that hack at you from caves in level 1 do not move,Official Code - GBCD1.txt,849
Beetlejuice ,1,0A2-0CF-FAE + 0A7-FCC-FAE,Take 10 hits before dying(sic: 020C-050A + 37FC-050A),Official Code - GBCD0.txt,97
Beetlejuice ,2,A77-E3C-19E,Infinite lives,Official Code - GBCD0.txt,98
Beetlejuice ,3,012-07F-E66,Start with 1 life,Official Code - GBCD0.txt,99
Beetlejuice ,4,062-07F-E66,Start with 6 lives,Official Code - GBCD0.txt,100
Beetlejuice ,5,092-07F-E66,Start with 9 lives,Official Code - GBCD0.txt,101
Beetlejuice ,6,00E-DDF-3BE,Infinite attempts--bathroom level,Official Code - GBCD0.txt,102
Beetlejuice ,7,009-BFB-3BE,Infinite attempts--bedroom level,Official Code - GBCD0.txt,103
Best of the Best Championship Karate,1,63C-59C-4CA,Start with 99% strength,"Official Code - GBCD_upd.txt (Volume 1, No. 3)",2514
Best of the Best Championship Karate,2,32C-5AC-912,Start with 50% resistance,"Official Code - GBCD_upd.txt (Volume 1, No. 3)",2515
Best of the Best Championship Karate,3,4BC-5AC-912,Start with 75% resistance,"Official Code - GBCD_upd.txt (Volume 1, No. 3)",2516
Best of the Best Championship Karate,4,63C-5AC-912,Start with 99% resistance,"Official Code - GBCD_upd.txt (Volume 1, No. 3)",2517
Best of the Best Championship Karate,5,32C-5BC-B3A,Start with 50% reflexes,"Official Code - GBCD_upd.txt (Volume 1, No. 3)",2518
Best of the Best Championship Karate,6,4BC-5BC-B3A,Start with 75% reflexes,"Official Code - GBCD_upd.txt (Volume 1, No. 3)",2519
Best of the Best Championship Karate,7,63C-5BC-B3A,Start with 99% reflexes,"Official Code - GBCD_upd.txt (Volume 1, No. 3)",2520
Best of the Best Championship Karate,8,FA4-2A9-4C1,Infinite energy,"Official Code - GBCD_upd.txt (Volume 1, No. 3)",2521
Best of the Best Championship Karate,9,008-0C8-3B7,Physical elements don't go down after combat,"Official Code - GBCD_upd.txt (Volume 1, No. 3)",2522
Best of the Best Championship Karate,10,00C-6CB-3BA,Energy doesn't go up during combat,"Official Code - GBCD_upd.txt (Volume 1, No. 3)",2523
Bill & Ted's Excellent Game Boy Adventure ,1,001-E1C-E6E,Infinite lives--1-player game,Official Code - GBCD0.txt,104
Bill & Ted's Excellent Game Boy Adventure ,2,041-1BC-C4A,Start with 4 lives,Official Code - GBCD0.txt,105
Bill & Ted's Excellent Game Boy Adventure ,3,151-1BC-C4A,Start with 15 lives,Official Code - GBCD0.txt,106
Bill & Ted's Excellent Game Boy Adventure ,4,251-1BC-C4A,Start with 25 lives,Official Code - GBCD0.txt,107
Bill & Ted's Excellent Game Boy Adventure ,5,005-81A-E6E,Infinite time,Official Code - GBCD0.txt,108
Bill & Ted's Excellent Game Boy Adventure ,6,012-4ED-E6A,Start on adventure 2,Official Code - GBCD0.txt,109
Bill & Ted's Excellent Game Boy Adventure ,7,032-4ED-E6A,Start on adventure 4,Official Code - GBCD0.txt,110
Bill & Ted's Excellent Game Boy Adventure ,8,052-4ED-E6A,Start on adventure 6,Official Code - GBCD0.txt,111
Bill & Ted's Excellent Game Boy Adventure ,9,072-4ED-E6A,Start on adventure 8,Official Code - GBCD0.txt,112
Bill & Ted's Excellent Game Boy Adventure ,10,092-4ED-E6A,Start on adventure 10,Official Code - GBCD0.txt,113
Bill & Ted's Excellent Game Boy Adventure ,11,022-53D-E6A,Start on quest 3--1-player game,Official Code - GBCD0.txt,114
Bill & Ted's Excellent Game Boy Adventure ,12,042-53D-E6A,Start on quest 5--1-player game,Official Code - GBCD0.txt,115
Bill Elliot's NASCAR Fast Tracks,1,003-C5B-3B7 + 002-3FA-3B7 + 000-BDA-19E,Collisions barely affect speed,Official Code - GBCD11.txt,1953
Bill Elliot's NASCAR Fast Tracks,2,00D-46B-3BE,Collisons with cars don't affect speed,Official Code - GBCD11.txt,1954
Bill Elliot's NASCAR Fast Tracks,3,1E7-31B-B37 + 027-32B-A26,Start with 1 lap--ignore lap timer and counter,Official Code - GBCD11.txt,1955
Bill Elliot's NASCAR Fast Tracks,4,1E7-31B-B37 + 047-32B-A26,Start with 3 laps--ignore lap timer and counter,Official Code - GBCD11.txt,1956
Bill Elliot's NASCAR Fast Tracks,5,1E7-31B-B37 + 0A7-32B-A26,Start with 9 laps--ignore lap timer and counter,Official Code - GBCD11.txt,1957
Bill Elliot's NASCAR Fast Tracks,6,XX1-069-19A,Start with burst of speed,Official Code - GBCD11.txt,1958
Bill Elliot's NASCAR Fast Tracks,7,004-65A-3BE,Infinite fuel,Official Code - GBCD11.txt,1959
Bionic Commando,1,FAE-6EB-4C1,Infinite energy,Official Code - GBCD8.txt,1828
Bionic Commando,2,024-0EE-E66,Start with 2 lives,Official Code - GBCD8.txt,1829
Bionic Commando,3,044-0EE-E66,Start with 4 lives,Official Code - GBCD8.txt,1830
Bionic Commando,4,064-0EE-E66,Start with 6 lives,Official Code - GBCD8.txt,1831
Bionic Commando,5,006-0AE-915,Infinite lives,Official Code - GBCD8.txt,1832
Bionic Commando,6,004-04E-915,Infinite continues,Official Code - GBCD8.txt,1833
Bionic Commando,7,024-818-E66,2 continues,Official Code - GBCD8.txt,1834
Bionic Commando,8,044-818-E66,4 continues,Official Code - GBCD8.txt,1835
Bionic Commando,9,064-818-E66,6 continues,Official Code - GBCD8.txt,1836
Bionic Commando,10,845-E0E-5D4,Start with 8 energy,Official Code - GBCD8.txt,1837
Blades of Steel,1,011-65B-6EA,Set length of game to 1:00,Official Code - GBCD2.txt,1021
Blades of Steel,2,031-65B-6EA,Set length of game to 3:00,Official Code - GBCD2.txt,1022
Blades of Steel,3,091-65B-6EA,Set length of game to 9:00,Official Code - GBCD2.txt,1023
Blades of Steel,4,007-938-19A,Opponent's energy doesn't go up again and yours does,Official Code - GBCD2.txt,1024
Blades of Steel,5,FA7-9F8-4C1,Invincible in fights,Official Code - GBCD2.txt,1025
Blades of Steel,6,035-B6A-F7E,3 penalty shots in shoot-out,Official Code - GBCD2.txt,1026
Blades of Steel,7,055-B6A-F7E,5 penalty shots in shoot-out,Official Code - GBCD2.txt,1027
Blades of Steel,8,095-B6A-F7E,9 penalty shots in shoot-out,Official Code - GBCD2.txt,1028
Blues Brothers,1,050-15B-E62,Start with 5 lives,Official Code - GBCD2.txt,1029
Blues Brothers,2,070-15B-E62,Start with 7 lives,Official Code - GBCD2.txt,1030
Blues Brothers,3,090-15B-E62,Start with 9 lives,Official Code - GBCD2.txt,1031
Blues Brothers,4,00A-F29-3B7,Infinite energy,Official Code - GBCD2.txt,1032
Blues Brothers,5,033-7CF-E62,Start with 3 encores (continues),Official Code - GBCD2.txt,1033
Blues Brothers,6,073-7CF-E62,Start with 7 encores,Official Code - GBCD2.txt,1034
Blues Brothers,7,093-9CF-E62,Start with 9 encores,Official Code - GBCD2.txt,1035
Blues Brothers,8,FA8-05F-4C1,Infinite encores,Official Code - GBCD2.txt,1036
Bo Jackson Two Games In One,,Baseball,,Official Code - GBCD11.txt,1960
